scenario,c,noise_level,seed,sensor,delay,fpr,est_error_pct
c=20_noise=0.1_seed=0,20,0.1,0,2,0,0.0,0.0713654011020104
c=20_noise=0.1_seed=0,20,0.1,0,3,0,0.0,0.03611547670047344
c=20_noise=0.1_seed=0,20,0.1,0,4,0,0.0,0.07940147845660661
c=20_noise=0.1_seed=1,20,0.1,1,0,0,0.0,0.006408843893321859
c=20_noise=0.1_seed=1,20,0.1,1,1,0,0.0,0.06972838840159312
c=20_noise=0.1_seed=1,20,0.1,1,2,0,0.0,0.027430630512945694
c=20_noise=0.1_seed=1,20,0.1,1,3,0,0.0,0.059079418637821846
c=20_noise=0.1_seed=1,20,0.1,1,4,0,0.0,0.05388003942721654
c=20_noise=0.1_seed=2,20,0.1,2,0,0,0.0,0.025147765546442716
c=20_noise=0.1_seed=2,20,0.1,2,1,0,0.0,0.016465452281604342
c=20_noise=0.1_seed=2,20,0.1,2,2,0,0.0,0.0020504749961247626
c=20_noise=0.1_seed=2,20,0.1,2,3,0,0.0,0.09383629795090442
c=20_noise=0.1_seed=2,20,0.1,2,4,0,0.0,0.07812662581006435
c=20_noise=1.0_seed=0,20,1.0,0,0,-4946,0.0126,0.33808095116336645
c=20_noise=1.0_seed=0,20,1.0,0,1,-4868,0.0129,0.43958585852656995
c=20_noise=1.0_seed=0,20,1.0,0,2,-4988,0.0112,0.7136540110202105
c=20_noise=1.0_seed=0,20,1.0,0,3,-4954,0.0098,0.36115476700475213
c=20_noise=1.0_seed=0,20,1.0,0,4,-4957,0.0111,0.7940147845661016
c=20_noise=1.0_seed=1,20,1.0,1,0,-4988,0.0105,0.064088438933112
c=20_noise=1.0_seed=1,20,1.0,1,1,-4853,0.0108,0.6972838840159667
c=20_noise=1.0_seed=1,20,1.0,1,2,-4844,0.0108,0.2743063051294392
c=20_noise=1.0_seed=1,20,1.0,1,3,-4708,0.0105,0.5907941863781119
c=20_noise=1.0_seed=1,20,1.0,1,4,-4863,0.011,0.5388003942722008
c=20_noise=1.0_seed=2,20,1.0,2,0,-4942,0.0091,0.2514776554644449
c=20_noise=1.0_seed=2,20,1.0,2,1,-4895,0.0104,0.16465452281597237
c=20_noise=1.0_seed=2,20,1.0,2,2,-4920,0.0089,0.020504749961336444
c=20_noise=1.0_seed=2,20,1.0,2,3,-4931,0.0109,0.9383629795090442
c=20_noise=1.0_seed=2,20,1.0,2,4,-4888,0.0118,0.7812662581005014
c=20_noise=3.33_seed=0,20,3.33,0,0,-4995,0.1813,1.1258095673740165
c=20_noise=3.33_seed=0,20,3.33,0,1,-4999,0.1743,1.4638209088934495
c=20_noise=3.33_seed=0,20,3.33,0,2,-4992,0.1722,2.376467856697335
c=20_noise=3.33_seed=0,20,3.33,0,3,-4992,0.1661,1.202645374125808
c=20_noise=3.33_seed=0,20,3.33,0,4,-4996,0.172,2.6440692326051085
c=20_noise=3.33_seed=1,20,3.33,1,0,-4998,0.1626,0.21341450164722883
c=20_noise=3.33_seed=1,20,3.33,1,1,-5000,0.1709,2.3219553337731824
c=20_noise=3.33_seed=1,20,3.33,1,2,-4989,0.1696,0.9134399960810492
c=20_noise=3.33_seed=1,20,3.33,1,3,-4987,0.1672,1.9673446406391726
c=20_noise=3.33_seed=1,20,3.33,1,4,-5000,0.1757,1.7942053129264224
c=20_noise=3.33_seed=2,20,3.33,2,0,-4997,0.1721,0.8374205926965672
c=20_noise=3.33_seed=2,20,3.33,2,1,-4998,0.1696,0.5482995609772168
c=20_noise=3.33_seed=2,20,3.33,2,2,-5000,0.1647,0.06828081737127789
c=20_noise=3.33_seed=2,20,3.33,2,3,-4995,0.1701,3.124748721765087
c=20_noise=3.33_seed=2,20,3.33,2,4,-4993,0.1646,2.6016166394746953
